account_number,account_name,balance,phone_number,password
1234567890,John Doe,1000.0,1234567890,c775e7b757ede630cd0aa1113bd102661ab38829ca52a6422ab782862f268646
9876543210,Jane Smith,500.0,9876543210,7619ee8cea49187f309616e30ecf54be072259b43760f1f550a644945d5572f2
5551234567,Bob Johnson,800.0,5551234567,3c95277da5fd0da6a1a44ee3fdf56d20af6c6d242695a40e18e6e90dc3c5872c
1112233445,Alice Brown,1200.0,1112233445,d68bdaffce0c14d159d3ce6bf3fc6142684849d2cc35faf7fb8739d6dda598d2
9871122334,Charlie White,300.0,9871122334,02e91124895aa65a6b75a167c1f7613cc427972a3598ca6c9c7e2dcfdf541807
4567890123,Eve Green,700.0,4567890123,e9b4e71efde8e551ca689a523d6d57e64762eaec549ca54d4cfc7d9b3012fa4c
8765432109,Brian Black,950.0,8765432109,6a761fe7202f0278928af483413205dee118492f56c166d7b2692eb08a52c2d2
3456789012,Grace Grey,200.0,3456789012,26cc49f1a2133f3784b937017f9cc86e05b5413c7f91b0b6bd6375631b68371e
5678901234,Daniel Red,600.0,5678901234,2f510ce904687db4b2706fdaf33f1d0e678be13cc5fe300cf695a546befa5fc8
2345678901,Susan Blue,850.0,2345678901,4191597aa1b3449dee4f86976b855e037c3aa38b72fce597a3651fa9036962a2
